lang	sentiment	text	num_tokens
est	-1	Kui äri käib, siis saab igasugu nimesid ja piltisid kokku joonistada	12
est	-1	"""Ma tundsin, et ta ei austa mind, sest ta päris minult otse kaamera ees isiklikke asju, kuigi meil oli omavahelisi hetki, et neid asju arutada,"" selgitas Lindsay."	35
est	-1	Niimoodi tuleks läbi kaaluda ja arvutada paljud teised raudteed puudutavad mõjurid, et lõpuks leida otstarbekaim lahendus. AECOMi uuring meid palju ei aita, sest seal on arvutused tehtud ideaalmaastikust lähtudes. Paraku pole viimast olemas.	38
est	-1	Armstrongiga varemgi ujumises võistelnud Dick Worrel ei suuda samuti otsust mõista. «Ma ei toeta seda, et ta dopingut tarvitas, kuid minu vaatevinklist on Masters selline võistlus, kus ujutakse hea enesetunde pärast,» rääkis ta. «Siin ei ole mängus suuri summasid ja au. Minu jaoks ei oleks olnud vahet, kas ta võistleb või mitte.»	65
est	-1	Kertu ütleb, et õnneks taastus selleks ajaks ka tema söögiisu, kuigi on tavaline, et viimases laagris matkajatel isu puudub. Enne viimast äratust oli ta juba mitu tundi ärkvel, kuna ootusärevus ei lasknud magada.	39
est	-1	Kass pole mingi ilueedi, et toas peab püsima. Kassi koht on õues. Oli mul selline. Aga elasin maal. Lõpuks ei tahtnudki tuppa tulla. Kass olgu kiskjana asja eest. Mis kuradi kuku nunnu see kiskja olgu. Selle kusehaisu pärast peavad teised korrusmaja elanikud kannatama, et keegi arvab ennast loomaarmastajaks, eksides tegelikult just loodusseaduste vastu. Sellepärast neid hulkuvaid lorusidki nii palju. Laduge miinuseid kui lusti on. Minu jätab see külmaks.	82
est	-1	Eriliselt kahetsusväärseks pean ma manifesti oponentide etteheidet, et «Humanistliku kristluse manifesti» eesmärk oli rünnata kirikut. See ei olnud kindlasti nii, sest kõik manifesti koostajad ja enamik allakirjutanuid olid kiriku liikmed. Kiriku rünnak iseenda vastu? Tundub absurdne.	44
est	-1	Pole turvatunnet	2
est	-1	Muutused ei pruugi alati olla head. Muutuste puhul kirikus valitseb alati oht, et võidakse kaotada midagi olulist, väärtuslikku ja ristiusule olemuslikku ning paljud manifesti oponendid on seda ka väljendanud. See kartus on täiesti põhjendatud, kuid ma usun, et seda ei juhtu, kui ollakse tõsiselt ja põhjalikult läbi mõelnud, mis on see oluline, mida peaks iga hinna eest säilitama, ja mida võib muuta. Nende probleemide läbimõtlemine peaks olema üks teoloogia ülesandeid.	82
est	-1	Ja ehk on tegu ka majandusliku põhjusega, mida kriisi järelmõjudega seostada saab. Kriis elati üle, lootuses, et õige pea läheb paremaks, vahepeal kärbitud palgad hakkavad taas tõusma, kaotatud töökohtade asemele luuakse uued. Ja siis, kui hakati rääkima kriisi lõpust, saabus pettumus: palgad oluliselt ei kerkinud ja elujärg ei paranenud. Just nagu psühholoogid peavad kõige keerulisemaks aastaajaks mitte talve, vaid kevadet, millelt oodatakse uut algust, kuid mis ei pruugi olulist muutust kaasa tuua, nii on ehk ka kriisi möödumise esimesed paar aastat keerulised. Lootused olid suured, kuid need ei pruugi täituda.	108
