lang	sentiment	text	num_tokens
est	-1	Rahvas on rääkinud: pederastidel tulevad pruunid lapsed. Nõnda väljendus Peeter Võsa ühes hiljutises Kanal 2 saates. Arvestades Kanal 2 populaarsust ja vaadatavust, näib suur osa eesti rahvast selle väitega ka nõustuvat. Näiteks pole ilmunud ühtegi arvamusartiklit või televaataja pretensiooni, mis on ometi ju ka kõige pisemate teemade puhul nii tavaline.	57
est	-1	"Maailmas liiguvad kuuldused, et pärast Leonardo DiCaprio ebaõnnestunud katset võita Ameerika Filmiakadeemia auhind Oscar olevat president Putin teinud DiCapriole ettepaneku kehastada noort Putinit ajaloolises filmis ""Venemaa hunt"" (""The Wolf of Russia"") ning öelnud, et ta ei lubaks mitte kellelgi teisel peale Leonardo DiCaprio noort Putinit kehastada. "	55
est	-1	Pigem aeti ajakirjanikule palju möga. Et kui hea ja tore olevat Skyps töötada. Ja kui raske neil olevat töötajaid leida. Ja selle plära vahel jõudis fotograaf siis vaevu mõned kiired klõpsud ka tha.	37
est	-1	Putini kõne avas eestlaste silmad??????	11
est	-1	Kui ühel hetkel ei ole enam kasvatajat ehk toetajat enam kõrval, tuleb endal hakata kaela kandma ja oma mänge mängima. Ühtlasi kaasneb ka vastutus. Kui aga elumängust kõrvale jäetakse, siis seda on meil raske taluda, nagu lapselgi, kellega kaaslased enam ei mängi. Vahendeid tunde «mind ei vajata» tekitamiseks on palju, ent hoolimatus, suutmatus üksteisega rääkida ja olla vajadusel lähedal, on ühed peamised.	75
est	-1	«Kuna maailma rahvastik kasvab aastas umbes 40 miljoni inimese võrra, on tööpuudus üha teravam probleem,» rääkis Ryder.	22
est	-1	Haapsalu nooruk vangistas eakaaslase ja mürgitas teda	7
est	-1	Purjus kliendid ähvardasid Tallinnas söögikoha süüdata	6
est	-1	Tervist.Kassidele on ju eeskujuks purjutajad linnas.Varasel hommikul on kiriku seinale solistajaid oh ,kui palju.Julgesin mõõdaminnes õelda,et ,,neitsi Maarja,, ju näeb pealt..Kahetsege ruttu pattu teete.	33
est	-1	35-aastane naistemagnetist näitleja James Franco hakkas Instagramis külge lööma 17-aastasele neiule. Mehel polnud aimugi, et tegemist on alaealisega, kes isegi temasuguse staari pika ninaga jätab.	29
est	-1	Nagu näha, on Eestis sõitvaid heal tasemel rallimehi vähe ning kõik see on kahandanud publiku huvi – rahvamassid olid raja ääres vaid Rally Estonial ja ilmselt tullakse ka Saaremaale, kuid napi säraga võistluste vastu puudub suurem huvi.	40
est	-1	«Lapsabieludeks saab lugeda kõik abielud, mis on sõlmitud tüdruku enne 18-aastaseks saamist. Alaealised lapsed ei ole võimelised enda õlule võtma abielu kohustusi ning ei ole kehaliselt küpsed laste sünnitamiseks,» seisab raportis.	37
est	-1	"""Mul on tihti tunne, et ma ei taha üldse öelda, millega tegelen,"" muigab ooperisolist Jassi Zahharov (59), et ei kibele end lauljaks nimetama. Just seetõttu, et superstaarisaated toodavad peale lauljaid, kes laulmisest mõhkugi ei tea. ""Ametinimetus ""laulja"" on devalveerunud, sest kõik laulavad ega anna endale aru, mis see laulmine tegelikult on. Ning need, kes laulmisega tõsiselt tegelevad, lähevad peitu, sest neil on vist häbi. Tõmbad ennast koomale ja ei taha enam laulda."""	96
est	-1	"""Mistõttu paljud lähevadki vabakutseliseks, sest see, mida teatris pakutakse, ei rahulda neid enam. Paljud näitlejad mängivad etendusest etendusse lihtsalt halba dramaturgiat, mis omakorda väsitab,"" maalib vabakutseline Madis Kalmet praegusest Eesti teatrist küllaltki minoorse pildi."	43
est	-1	Mina jätsin kah oma kohviostu harjumuse Statoilist, kui seal eelmisel korral kohvi optimeeriti. Huvitav, kas nüüd õnnestus leida veelgi kallim lahendus, mis veelgi väiksema kohvipuru kogusega vee pruuniks värvib...?	35
est	-1	Haapsalu jääb ilma ettevõtluse arendamise sihtasutuse 106 851 euro suurusest toetusest, sest rikkus kultuurikeskuse ehitamisel riigihanke nõudeid.	19
est	-1	"Tuul, mis matkajaid tipu pool tervitas, oli hingematvalt külm ja Kertu pani selga päris mitu kihti riideid. ""Ülemise otsa peal soe pesu, vest, fliis, sulejope ja veel eraldi kaasa võetud soe ja veekindel talvejope. All samuti soe pesu, puuvillased suusapüksid ning nende peal omakorda veekindlad suusapüksid."""	57
est	-1	kui loll peab inimene olema, et seda poliitvangerdust uskuma jääda...	12
est	-1	Päästeameti andemetel ei ole tänavu möödunud ühtegi kuud ilma uppumissurmadeta. Kõige traagilisem kuu on olnud august, kui vees kaotas elu 15 inimest.	25
est	-1	eiei, mis te jamate, kuuuurija ütles, et nüüd on kõik parem:)	16
est	-1	"Tüdrukute tööpäevad venisid topelt pikemaks, kuid palk, mida nad said, oli napp. ""Lõpuks ütles baariomanik, et see korter on mõeldud elamiseks ühele inimesele, ja tahtis meid eraldada. See mulle ei meeldinud, läksime ka sealt minema. Töötasin veel kolmes baaris ja igal pool oodati muud kui seda, et ma oleks ettekandja,"" selgitas Katrin. ""Mul on hea meel, et lõpuks Kreekast tööorjusest pääsesin, aga jäin ikka kõvasti miinusesse. Helistasin koju, et ema saadaks raha lennupileti ostmiseks. Kõik see, mida seal teenisin pluss Eestist saadetud raha kulus ära, kätte ei jäänud midagi."""	113
est	-1	Tallinnas Lasnamäel asuvas parklas süütas põlev auto ööl vastu tänast teisegi sõiduki.	13
est	-1	"Keskraamatukogu arendusspetsialisti Tiina Kriisa sõnul tekitab taoline leid hirmu, sest ei saa kindel olla, kas ja kui palju sarnaseid fotosid veel raamaturiiulitele sokutatud võib olla. ""Ma ei taha mõelda, mis võinuks saada, kui pildi oleks leidnud mõni laps,"" rääkis Kriisa."	49
est	-1	imelikud kommentaarid ...	3
