	lang	sentiment	text
0	est	-1	Ametnikud teatasid eile õhtul, et ohvrite arv kerkis 289ni, kuid hiljem kärbiti seda numbrit 247ni, vahendas BBC. Hukkunute lõplikku arvu pole teada.
1	est	-1	mis idiootlik plakat , mis rahu , kus rahu või kino Rahu
2	est	-1	Seetõttu olen alati suhtunud väga negatiivselt kõikidesse nn. majandusanalüütikutesse, kes ütlevad et madalad palgad on Eesti eelis ja suurendavad Eesti eksporti.
3	est	-1	Teil on üks armastusjutt – «Doktor Niine pähkel ehk härrade kabinet». Meestearsti kabinetti, kus käib riigi eliit, kellel ei seisa enam, ilmub agressiivne patsient, ainult et vastupidise probleemiga: potents ei mahu püksi ära, kipub vägisi välja. Kultuurikihi alt kooruvatel instinktidel, loomalikul olelusvõitlusel näikse olevat kindel koht teie lugudes. Või ma eksin?
4	est	-1	Kas Rakvere raamatukogus tegutseb tõesti pervert?
5	est	-1	Umbes kümne minuti pärast tuli V.K tagasi ja sidus vangistatu koormarihmadega kätest ja jalgadest tooli külge, lukustas ukse ja lahkus.
6	est	-1	tsurkadelt jäi ka eestisse vara,oma eesti tsurkad varastasid ja parseldasid,ahnitsesid endale ,mis vähegi andis,seda sa parandagi kasv6i kakstuhat aastat
7	est	-1	«Hetkel on täiesti arusaamatu see, miks inimestel on peaaegu et ühest kohast ja sarnased luumurrud – jalad on reitest murtud,» rääkis sõjahaudade uurija Arnold Unt, kelle sõnul olid langenud maetud siiski ristiinimese kombel ehk asetatuna kõrvuti ning peaga lääne suunas.
8	est	-1	Seepärast ongi vaene vaene, et see lööb oma raha laiaks ja tahab edvistada aga jõukas inimene oskab rahaga mõistlikumalt ümber käia ja investeerida ja rahast raha teha.
9	est	-1	ma küll ei viitsiks kellegi teise titte hoida ja temaga tegeleda mingi väikese summa eest kuus. Lapsest on kahju, solgutatakse tädilt tädile, see ei ole lapse jaoks kasulik.
10	est	-1	"Jah, nii ta kipub olema. Seal käib kõik raha eest, altkäemaks nagu öeldakse, on mitte moes vaid lausa kohustuslik. Fantaasia on neil piiritu. Tahaks teada, kes need joogaõpetajad tal olid, mitu tundi see poisu õppis nende õpetajate juures, et saada ise joogaõpetajaks. Või tuleb pärast jälle välja, et harjutused on ""inspiratsiooni"" mõjul kokku klopsitud ning tegelikult õpilaste tervisele lausa kahjulikud."
11	est	-1	Mick Jaggeri pruudid on end varemgi meeleheitest tappa tahtnud
12	est	-1	eriti lame nali. ei ole edgari pooldaja vms, vastupidi, aga lihtsalt kamoon, õppige nalja tegema. ja furthermore - ajakirjanikule tundus see lausa artiklit väärt? täiesti käsitlematu jama.
13	est	-1	«Pärast Yana Toomi riigikokku siirdumist Tallinna abilinnapeaks saanud Kõlvart jätkas eelkäija üleminekuvastast tegevust, kuid lisas senisele avalikule tegevusele ka varjatud vastutegevuse. Kõlvarti eesmärk oli sealjuures koondada venekeelseid noori ja näidata nende vastuseisu,» kirjutas kapo aastaraamatus.
14	est	-1	Eluga rahulolu tagab tunnetatud elukvaliteet. Eesti mõistes pole ju Stockholmi eeslinnades toimuval märulil mingit põhjendust: nende noorukite majanduslik heaolu on paremini kaitstud kui keskmist palka saaval spetsialistil Eestis. Ometigi on viha ja nördimus tänavale voolanud, sest need inimesed tunnetavad, et nad on millestki olulisest ilma jäänud.
15	est	-1	Mina ei pea teda ennast eriti nutikaks....mis ma selle infoga nüüd pihta hakkan? Keda huvitab, mida ekspeaminister peab nutikaks ja mida mitte?
16	est	-1	Miskipärast kipub jääma mulje, et inimestel on rehkendusoskusega raskusi. Kuid need raskused, mida ma silmas pean, ei avaldu mitte niivõrd selles, et ei mõistetaks kakskordkahte, ega selleski, mitu liimest liimitakse üldhariduskooli lõpetaja otsaette.
17	est	-1	Virumaa Teataja toimetusse, paljudele kontaktidele Eestis ja kogu maailmas saabus täna Vinnis tegutseva Hapro International Balti piirkonna juhi Taimo Kaldma nimel meil, kus ta palub 1800 eurot laenu, kuna on Ukrainas Luganskis reisil olles kaotanud nii rahakoti kui telefoni ja ainus võimalus temaga kontakteeruda on e-posti teel. Tegu aga on petukirjaga.
18	est	-1	Buhhaara korrakaitsjate teatel lämmatas autokastis maganud kuueaastase Amirbek Rakhmatovi puuvillakoorem.
19	est	-1	Alates eelmise nädala lõpust on kõikjal Hiinas kümned tuhanded inimesed Jaapani vastu protestinud ning rüüstanud Jaapani poode ja tehaseid, mis on sundinud ettevõtteid tootmist peatama või piirama.
20	est	-1	Riigipea sõnul on juhtunu osaliselt ka aastaid kestnud poliitilise vastutustundetuse tagajärg, mida tõestavad probleemid Läti haldusaparaadis ja eriti selle täitevharus.
