lang	sentiment	text	num_tokens
fin	-1	Missä perustelut mutuväitteillesi???	6
fin	-1	mistä näitä rukafanjea oikein tulee, no sieltä hinttaribunkkerista tietysti.	11
fin	-1	Haluaisin syödä, mutta pelkään lihovani ja siitä tulee fyysisestikin paha olo.	13
fin	-1	Mua ahdistaa ruoka.	4
fin	-1	siis tälläisiä homoja, pilvenpolttajia, ikuisia opiskelijoita ja maailmanparantajia pk-seudulta löytyy!!!	15
fin	-1	korjaa ite jos muka on...	6
fin	-1	Yhteistä kaikilla edellä mainituilla marxismin variaatioilla on, että avioliitto instituutio nähdään syrjivänä, alistavana ja riistävänä asiana.	19
fin	-1	käykäähä ens kesänä hipit kylässä, kyllä me teille sapuskat tarjotaa ja ponua myös jos sattuu mukana olemaan niitä kettutyttölöisiä, katotaan minkälainen on se pienturkis onko muokattu tarpeeks hyvin.	31
fin	-1	Vituttaa tollaset narisijat, jos et osaa ajaa kovaa muiden seassa niin myy autos ja opettele virkkaamaan.	18
fin	-1	LAINAUS PÄÄTTYY	2
fin	-1	Meitä on moneen junaan no onneksi pystyt sentään vielä homoileen tarkistin ip osoitteesi tiedän sinut sinä olet HOMO !	19
fin	-1	😕	1
fin	-1	Muut: Hän on hullu, eikä meitä kiinnosta, mitä hullut tekevät.	14
fin	-1	Minusta tässä on viitteitä sananvapauden toteutumisen estämisestä, yhteiskuntarasismista, ihmisen perustarpeiden diskriminoinnista, mielipideilmaisun estämisestä jne jne.	19
fin	-1	Rkp vaikuttaa ajavan ruotsin etuja pakkoruotsittamalla suomenkielisiä lapsiamme jotta ruotsi voisi saada kilpailuedun ainakin suomeen nähden esim.	18
fin	-1	Harvoin näkee noin monta kirjoitusvirhettä yhdessä viestissä.	8
fin	-1	uhma ikäiset nurkkaan ja teinit kotiarestiin :D laitatko viestiä?	11
fin	-1	Voi vittu mitä sakkia, en voi muuta kirjoittaa.	10
fin	-1	valehtelet	1
fin	-1	Ne kerrat kun ei niin ei voi valittaa sillä pili on ollut fiksumpi kuin kantajansa.	16
fin	-1	*Menee pukeutumaan säkkiin ja paiskaa peilin h**vettiin*	12
fin	-1	Voi olla että Suomen lasten tulevaisuus ei ole yhtään parempi kuin muidenkaan, kerran kun saatte vihanlietsomisella repäistyä väkivaltakierteen Suomessa.	21
fin	-1	Euroopan-lennoilla vierustoveri, jonka henki haisee ja edessä istuva urpo, joka laskee penkkinsä selkänojan alas, esim koska on niin kännissä, tai koska ei vain tajua, että se temppu on suoraan pois takanaolijan jalkatilasta.	38
fin	-1	Laitetaan homma EU-tasolle, ja pakotetaan ja maanitellaan ja uhkaillaan ja mairitellaan koko Euro-rahaa käyttävä alue maksamaan roskapankkituki pois.	20
fin	-1	Elämän keskipiste on ulkonäkö ja muusta se ei varmaan mitään tiiäkkään.	12
fin	-1	...tosiaan aikas uusavutonta porukkaa, lienöö tuolla jo lunta niin että ulukoporttailla sukset sitasoo koippiisa ja lähtöö siittä vaan suhkimmaan, voe helevetti teijjän kans!!	28
fin	-1	Suurin osa kumminkin vaan transuilee omissa oloissaan.	8
fin	-1	"Isästä tulee todella huono ihminen, kelvoton, epäluotettava, vaikka on aikanaan kelvannut mainiosti ""siihen"" puuhaan."	20
fin	-1	onko nalliakari taas täynnä marjanpoimijoita?!	7
fin	-1	Ja munko on otettava vastuu näistä kakaroista?	8
fin	-1	Siksi jatka vain täällä kirjoittelua kun rahkeet ei muuhun riitä	10
fin	-1	Kun ei tuo kirjoituspuoli ole sinullakaan kunnossa, niin kannattaa olla ihan hiljaa.	14
fin	-1	Luuserin Jorma; arvaa kertoiko tää varaton-työtön-tuloton TOTUUTTA itestään ja tilanteestaan, sen enempää kuin tää LUOTETTAVAKSI ja KUNNOLLISEKSI itseään mainostava live-tapaus ominaistavastaan pitää varanaissuhdetta yllä.	27
fin	-1	No oon ostanut pari witch lehtee, mutta ne ei vaan jotenkin kolahda.	14
fin	-1	paidat pilalla :((((	7
fin	-1	mä oon ollu jo kauan masentunu..	7
fin	-1	joka sitten joskus poksahtaa ja laskee paskansa kiiminkijokeen.	9
fin	-1	Susta näkee, että sua harmittaa aivan vietävästi, kun Fordissasi ei olekaan mitään uutta tekniikkaa ja toiset firmat vain mainostavat sitä....	23
fin	-1	Aika surullinen tapaus koko nainen.	6
fin	-1	Ja seksijutut todella kiinnosti häntä mutta vain fantasia tasolla ja olenkin huomannut että moni elää jossain fantasia maailmassa ja osa jopa pyytää nettiseksiä, joka on sama asia kuin itsetyydytys ruudun ääressä ja sitä minä en harrasta :)	39
fin	-1	vihaan eniten maailmassa pahuutta ja ilkeitä ihmisiä, ne on mun silmissä täysiä nollia.	15
fin	-1	Lopettakaa pa...kan jauhaminen ja maksakaa mitä olette velkaa.	11
fin	-1	Saunailloissa sitten naureskellaan näille helpoille munahaukoille, jotka väkisin tyrkyttää haisevaa p...aan meille ukkomiehille.	17
fin	-1	- Kun tulen siivoamaan toimistoasi, minulle on turha selitellä että siirtele vaan rauhassa papereitani yms, koska se ei oikeasti kuulu meille.	24
fin	-1	hanurista !	2
fin	-1	Kohta on suomalaisilla isänmaata ikävä.	6
fin	-1	Se ei vaadi kummoistakaan älyä, jos mottaa toista turpaan.	11
fin	-1	Nyt siellä ituhippipäättäjät ovat ahtaan edessä, kun pitäisi viisinkertaistaa puhtaan aurinkovoimalan CO2 päästöt.	15
fin	-1	Kroppa on niin pilalla eikä toimi ilman huumeita joten niiden hankkimiseksi käytetään kaikkia mahdollisia paikkoja hyväksi, kristillisiä ja muita helposti säälittäviä puheita uskovia, pummataan heiltä rahaa ja tavaroita ja myydään jopa annettu ruokakassi kaupan edustalla, että saadaan huumeisiin rahaa.	43
